Country Code ISO3,Country,IndexScore,IndexRank,SpilloverScore,Regions used for the SDR,id,image
GNB,Guinea-Bissau,,0,,Africa,624,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F1390>
GNQ,Equatorial Guinea,,0,,Africa,226,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F14B0>
GRC,Greece,75.40707696078432,37,72.26963636363637,OECD,300,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x32 at 0x7FF1342F15D0>
GRD,Grenada,,0,,LAC,308,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x29 at 0x7FF1342F16F0>
GTM,Guatemala,59.91468851540616,121,87.2819,LAC,320,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1810>
GUY,Guyana,57.89281523589828,128,30.0,LAC,328,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1930>
HND,Honduras,62.77279593837535,112,94.8203,LAC,340,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F1A50>
HRV,Croatia,80.37550147058823,14,84.82990000000002,E. Europe & C. Asia,191,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F1B70>
HTI,Haiti,51.35142338935575,150,99.63366666666668,LAC,332,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1C90>
HUN,Hungary,78.77619461270862,25,80.0299090909091,OECD,348,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1DB0>
IDN,Indonesia,66.34290448717948,97,96.866,East & South Asia,360,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1ED0>
IND,India,60.0749992081448,120,98.89620000000002,East & South Asia,356,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F1FF0>
IRL,Ireland,80.96381447963802,13,60.04027272727273,OECD,372,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F2110>
IRN,"Iran, Islamic Rep.",70.01486549953313,74,95.92730000000002,MENA,364,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x28 at 0x7FF1342F2230>
IRQ,Iraq,63.81501165697048,105,98.34522222222223,MENA,368,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F2350>
ISL,Iceland,78.1705042286145,29,60.2734,OECD,352,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x36 at 0x7FF1342F2470>
ISR,Israel,75.03782581699346,38,69.62954545454546,OECD,376,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x36 at 0x7FF1342F2590>
ITA,Italy,78.75520735294116,26,71.19399999999999,OECD,380,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x33 at 0x7FF1342F26B0>
JAM,Jamaica,68.97146890756302,81,93.643,LAC,388,<PIL.GifImagePlugin.GifImageFile image mode=P size=50x25 at 0x7FF1342F27D0>
